Company,Marketing Head,Role,Verified
Apple,Varun Puri,Chief Marketing Officer (CMO),Yes
Google,Virginia Sharma,Marketing Head,Yes
Google,Neha Barjatya,Marketing Director,Yes
Google,Google India makes Mansi Khanna Director,Unknown,No
zepto,Chandan Mendiratta,Unknown,No
zepto,Amritansu Nanda,Chief Marketing Officer (CMO),Yes
zepto,"Amritansu Nanda, CMO, Zepto moves on",Chief Marketing Officer (CMO),Yes
zepto,Amritansu Nanda Email & Phone Number,Chief Marketing Officer (CMO),Yes
amazon,Ravi Desai,Chief Marketing Officer (CMO),Yes
amazon,Khaneja Gandhi,Marketing Head,Yes
amazon,India Ads,Unknown,No
